,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
232,MR Marsh,2023-2023,20,20,2,858,177*,47.66,113.94,2,5,3
233,T Marumani,2023-2023,3,2,1,18,18*,18.00,257.14,-,-,1
234,WP Masakadza,2023-2023,11,7,2,66,34,13.20,58.4,-,-,-
235,AD Mathews,2023-2023,8,7,0,81,23,11.57,61.36,-,-,2
236,Matiullah Khan,2023-2023,1,1,1,-,0*,-,0.0,-,-,-
237,B Mavuta,2023-2023,2,-,0,-,-,-,0.0,-,-,-
238,GJ Maxwell,2023-2023,11,11,3,413,201*,51.62,145.93,2,-,1
239,KR Mayers,2023-2023,11,10,0,174,56,17.40,75.32,-,1,-
240,CM McBride,2023-2023,11,10,0,241,56,24.10,72.37,-,1,2
241,BJ McCarthy,2023-2023,6,3,1,50,41,25.00,96.15,-,-,-
242,CE McConchie,2023-2023,6,5,2,126,64*,42.00,99.21,-,1,-
243,B McMullen,2023-2023,11,10,0,421,136,42.10,85.22,2,1,-
244,Mehidy Hasan Miraz,2023-2023,24,22,1,491,112*,23.38,77.2,1,1,1
245,KP Meiyappan,2023-2023,23,19,4,143,24,9.53,48.31,-,-,5
246,BKG Mendis,2023-2023,31,30,3,893,122,33.07,91.12,1,6,4
247,EJB Miles,2023-2023,4,3,2,2,1*,2.00,22.22,-,-,1
248,DA Miller,2023-2023,21,20,4,790,101,49.37,114.65,1,6,1
249,AF Milne,2023-2023,4,3,0,7,4,2.33,36.84,-,-,1
250,DJ Mitchell,2023-2023,26,25,2,1204,134,52.34,100.24,5,3,-
251,SJ Modani,2023-2023,11,11,0,261,64,23.72,55.76,-,2,1
252,Mohammad Haris,2023-2023,2,2,1,20,17*,20.00,117.64,-,-,-
253,Mohammad Hasnain,2023-2023,1,1,1,4,4*,-,200.0,-,-,-
254,Mohammad Nabi,2023-2023,20,16,2,240,65,17.14,93.38,-,1,-
255,Mohammad Nadeem,2023-2023,9,9,4,266,65,53.20,70.55,-,2,1
256,Mohammad Naim,2023-2023,6,6,0,94,28,15.66,60.64,-,-,1
257,Mohammad Nawaz,2023-2023,15,10,2,153,39,19.12,91.61,-,-,-
258,Mohammad Rizwan,2023-2023,25,23,7,1023,131*,63.93,93.76,1,7,-
259,Mohammad Saleem,2023-2023,2,-,0,-,-,-,0.0,-,-,-
260,Mohammad Wasim,2023-2023,12,5,1,46,16*,11.50,97.87,-,-,-
261,Mohammed Shami,2023-2023,19,9,3,36,14,6.00,83.72,-,-,1
262,Mohammed Siraj,2023-2023,25,7,5,26,9*,13.00,50.0,-,-,1
263,KV Morea,2023-2023,6,5,1,15,7*,3.75,65.21,-,-,-
264,G Motie,2023-2023,3,2,2,39,39*,-,105.4,-,-,-
265,Mrittunjoy Chowdhury,2023-2023,1,1,0,8,8,8.00,72.72,-,-,-
266,Muhammad Jawadullah,2023-2023,5,4,2,14,13*,7.00,107.69,-,-,1
267,Muhammad Waseem,2023-2023,24,24,0,782,119,32.58,103.98,1,4,3
268,Mujeeb Ur Rahman,2023-2023,20,13,1,139,64,11.58,103.73,-,1,3
269,Mukesh Kumar,2023-2023,3,1,0,6,6,6.00,85.71,-,-,-
270,SR Mukkamalla,2023-2023,9,9,1,231,120*,28.87,89.53,1,1,2
271,HG Munsey,2023-2023,6,6,1,236,103*,47.20,99.57,1,1,-
272,Musa Ahmed,2023-2023,5,5,0,111,61,22.20,71.15,-,1,1
273,Mushfiqur Rahim,2023-2023,26,24,3,797,100*,37.95,87.58,1,6,-
274,Mustafizur Rahman,2023-2023,19,15,8,55,20,7.85,43.65,-,-,3
275,B Muzarabani,2023-2023,9,5,4,39,17*,39.00,100.0,-,-,1
276,Najibullah Zadran,2023-2023,10,9,1,86,23,10.75,68.8,-,-,-
277,A Nao,2023-2023,3,2,0,3,2,1.50,42.85,-,-,-
278,Naseem Khushi,2023-2023,5,3,0,82,69,27.33,122.38,-,1,-
279,Naseem Shah,2023-2023,11,3,3,28,18*,-,82.35,-,-,-
280,Nasum Ahmed,2023-2023,11,8,1,138,44,19.71,84.14,-,-,-
281,Naveen-ul-Haq,2023-2023,8,5,1,16,9*,4.00,64.0,-,-,2
282,LR Naylor,2023-2023,1,1,0,20,20,20.00,95.23,-,-,-
283,Najmul Hossain Shanto,2023-2023,24,23,1,920,117,41.81,84.24,2,7,3
284,JDS Neesham,2023-2023,5,4,1,86,58,28.66,119.44,-,1,1
285,A Neill,2023-2023,1,1,0,7,7,7.00,350.0,-,-,-
286,MG Neser,2023-2023,2,2,0,3,3,1.50,23.07,-,-,1
287,SN Netravalkar,2023-2023,10,6,3,31,14*,10.33,58.49,-,-,1
288,R Ngarava,2023-2023,12,6,1,54,35,10.80,114.89,-,-,1
289,L Ngidi,2023-2023,16,8,5,29,12*,9.66,35.8,-,-,2
290,HM Nicholls,2023-2023,14,14,4,370,50*,37.00,74.74,-,1,-
291,AT Nidamanuru,2023-2023,19,19,3,524,111,32.75,98.68,2,2,3
292,P Nissanka,2023-2023,29,29,3,1151,104,44.26,87.39,2,9,3
293,Noor Ahmad,2023-2023,6,2,0,29,26,14.50,74.35,-,-,-
294,A Nortje,2023-2023,5,2,0,15,10,7.50,78.94,-,-,-
295,Nurul Hasan,2023-2023,1,-,0,-,-,-,0.0,-,-,-
296,VM Nyauchi,2023-2023,2,1,0,7,7,7.00,77.77,-,-,-
297,MP O'Dowd,2023-2023,22,22,0,641,90,29.13,76.76,-,3,2
298,HH Pandya,2023-2023,20,13,2,383,87,34.81,94.8,-,3,-
299,AA Paradkar,2023-2023,2,2,0,24,24,12.00,68.57,-,-,1
300,Pargat Singh,2023-2023,5,5,0,213,102,42.60,80.68,1,1,1
301,WD Parnell,2023-2023,4,3,1,40,34,20.00,108.1,-,-,-
302,AR Patel,2023-2023,8,8,2,132,42,22.00,92.3,-,-,-
303,MD Patel,2023-2023,9,9,0,152,61,16.88,75.62,-,2,3
304,NK Patel,2023-2023,10,9,1,67,23,8.37,52.34,-,-,-
305,M Pathirana,2023-2023,12,7,2,11,5,2.20,31.42,-,-,2
306,RK Paudel,2023-2023,22,21,1,529,95*,26.45,75.57,-,3,2
307,KMA Paul,2023-2023,7,5,2,54,46*,18.00,125.58,-,-,-
308,CW Perchard,2023-2023,5,4,3,32,16*,32.00,84.21,-,-,-
309,MDKJ Perera,2023-2023,9,9,0,166,78,18.44,105.73,-,2,2
310,AL Phehlukwayo,2023-2023,3,3,2,78,39*,78.00,120.0,-,-,-
311,K Phillip,2023-2023,2,1,0,-,0,0.00,0.0,-,-,1
312,GD Phillips,2023-2023,21,19,3,578,72,36.12,97.8,-,4,-
313,N Pooran,2023-2023,9,9,2,428,115,61.14,112.04,2,-,-
314,MJ Potts,2023-2023,2,1,1,3,3*,-,100.0,-,-,-
315,R Powell,2023-2023,6,6,0,82,46,13.66,112.32,-,-,1
316,KH Prajapati,2023-2023,9,9,0,324,103,36.00,84.15,1,1,-
317,Pramod Madushan,2023-2023,2,2,0,2,1,1.00,22.22,-,-,-
318,M Prasidh Krishna,2023-2023,3,2,2,-,0*,-,0.0,-,-,-
319,Pratis GC,2023-2023,3,1,1,11,11*,-,183.33,-,-,-
320,K Rabada,2023-2023,14,7,3,45,17*,11.25,65.21,-,-,-
321,Rahmanullah Gurbaz,2023-2023,20,20,0,656,151,32.80,87.7,2,2,1
322,Rahmat Shah,2023-2023,18,18,1,506,77*,29.76,75.18,-,4,2
323,KL Rahul,2023-2023,24,22,8,983,111*,70.21,88.63,2,6,-
324,LN Rajbanshi,2023-2023,12,5,3,-,0*,0.00,0.0,-,-,2
325,CAK Rajitha,2023-2023,21,14,4,108,33,10.80,64.28,-,-,3
326,Rameez Shahzad,2023-2023,11,11,1,245,54*,24.50,70.6,-,1,-
327,AU Rashid,2023-2023,16,15,8,148,20,21.14,91.35,-,-,-
328,Rashid Khan,2023-2023,17,13,2,182,35*,16.54,105.2,-,-,1
329,Ravinderpal Singh,2023-2023,5,5,1,97,34,24.25,86.6,-,-,-
330,R Ravindra,2023-2023,22,18,1,767,123*,45.11,107.72,3,3,1
331,RA Reifer,2023-2023,1,1,0,15,15,15.00,50.0,-,-,-
332,Riaz Hassan,2023-2023,2,1,0,34,34,34.00,51.51,-,-,-
333,RD Rickelton,2023-2023,2,2,0,17,14,8.50,65.38,-,-,-
334,CP Rizwan,2023-2023,9,9,2,166,60*,23.71,47.15,-,1,-
335,Rohan Mustafa,2023-2023,24,23,2,316,52*,15.04,57.66,-,1,2
336,Rony Talukdar,2023-2023,1,1,0,4,4,4.00,28.57,-,-,-
337,JE Root,2023-2023,13,13,0,315,82,24.23,83.77,-,3,2
338,JJ Roy,2023-2023,6,6,0,278,132,46.33,99.28,2,-,-
339,Saad Bin Zafar,2023-2023,5,5,0,59,28,11.80,54.12,-,-,-
340,Sabir Ali,2023-2023,2,1,1,-,0*,-,0.0,-,-,-
341,PD Salt,2023-2023,5,5,0,143,61,28.60,132.4,-,1,-
342,S Samarawickrama,2023-2023,25,22,3,850,108,44.73,96.48,1,6,2
343,SV Samson,2023-2023,2,2,0,60,51,30.00,100.0,-,1,-
344,Sandeep Goud,2023-2023,4,4,0,58,46,14.50,74.35,-,-,-
345,T Sangha,2023-2023,2,1,0,-,0,0.00,0.0,-,-,1
346,MJ Santner,2023-2023,17,14,3,298,57,27.09,107.58,-,1,-
347,Saqib Zulfiqar,2023-2023,8,8,2,124,34*,20.66,95.38,-,-,-
348,A Saud,2023-2023,2,2,0,49,48,24.50,55.05,-,-,-
349,Saud Shakeel,2023-2023,10,8,0,250,68,31.25,99.2,-,2,-
350,BM Scholtz,2023-2023,11,8,2,60,30,10.00,71.42,-,-,2
351,GLS Scrimshaw,2023-2023,1,-,0,-,-,-,0.0,-,-,-
352,Shadab Khan,2023-2023,17,13,1,259,48,21.58,102.77,-,-,-
353,AA Shafique,2023-2023,2,1,0,13,13,13.00,39.39,-,-,-
354,Shaheen Shah Afridi,2023-2023,21,13,7,94,25,15.66,104.44,-,-,1
355,Shahidullah,2023-2023,2,2,0,38,37,19.00,55.88,-,-,-
356,Shamim Hossain,2023-2023,4,4,0,33,16,8.25,75.0,-,-,-
357,T Shamsi,2023-2023,11,6,3,10,4*,3.33,35.71,-,-,2
358,MD Shanaka,2023-2023,24,20,2,338,108*,18.77,89.18,1,1,3
359,Shan Masood,2023-2023,4,4,0,52,44,13.00,58.42,-,-,1
360,Shakib Al Hasan,2023-2023,23,22,1,735,93,35.00,89.85,-,6,-
361,A Sharafu,2023-2023,4,4,0,22,14,5.50,47.82,-,-,1
362,SM Sharif,2023-2023,9,6,3,26,8*,8.66,50.0,-,-,-
363,Shariz Ahmad,2023-2023,10,7,0,64,30,9.14,59.81,-,-,-
364,B Sharki,2023-2023,15,14,2,416,77*,34.66,64.19,-,3,1
365,A Sharma,2023-2023,7,7,0,136,57,19.42,76.4,-,1,1
366,RG Sharma,2023-2023,27,26,2,1255,131,52.29,117.07,2,9,2
367,SM Sharma,2023-2023,8,6,3,87,44,29.00,89.69,-,-,-
368,Shayan Jahangir,2023-2023,8,8,1,279,100*,39.85,95.87,1,1,1
369,R Shepherd,2023-2023,7,5,0,70,36,14.00,93.33,-,-,2
370,B Shikongo,2023-2023,10,6,4,5,1*,2.50,20.0,-,-,-
371,HB Shipley,2023-2023,8,6,1,18,7,3.60,46.15,-,-,2
372,Shoaib Khan,2023-2023,8,8,2,233,52*,38.83,83.51,-,2,1
373,Shoriful Islam,2023-2023,16,12,7,59,16,11.80,83.09,-,-,-
374,MW Short,2023-2023,2,2,0,11,9,5.50,91.66,-,-,-
375,Shubman Gill,2023-2023,29,29,4,1584,208,63.36,105.45,5,9,1
376,Sikandar Raza,2023-2023,13,11,2,433,102*,48.11,111.88,1,1,1
377,K Sinclair,2023-2023,4,2,0,35,25,17.50,58.33,-,-,-
378,G Singh,2023-2023,11,11,1,397,101*,39.70,87.06,1,2,-
379,JL Smith,2023-2023,2,1,0,9,9,9.00,90.0,-,-,-
380,OF Smith,2023-2023,4,3,0,55,37,18.33,125.0,-,-,-
381,SPD Smith,2023-2023,16,15,1,439,74,31.35,83.14,-,3,3
382,IS Sodhi,2023-2023,13,7,0,64,35,9.14,59.81,-,-,1
383,CB Sole,2023-2023,8,4,2,29,17,14.50,96.66,-,-,-
384,Sompal Kami,2023-2023,17,12,7,192,63*,38.40,82.75,-,1,-
385,CA Soper,2023-2023,13,13,5,139,36*,17.37,58.89,-,-,1
386,Soumya Sarkar,2023-2023,2,1,0,-,0,0.00,0.0,-,-,1
387,TG Southee,2023-2023,10,6,2,35,15*,8.75,87.5,-,-,1
388,M Spoors,2023-2023,5,5,0,86,33,17.20,54.77,-,-,-
389,MA Starc,2023-2023,14,11,3,102,28,12.75,58.62,-,-,1
390,BDH Stevens,2023-2023,1,1,0,1,1,1.00,20.0,-,-,-
391,PR Stirling,2023-2023,17,14,0,451,162,32.21,95.34,1,2,2
392,MP Stoinis,2023-2023,13,11,1,191,35,19.10,114.37,-,-,-
393,BA Stokes,2023-2023,9,9,0,539,182,59.88,99.08,2,3,1
394,OP Stone,2023-2023,2,1,0,1,1,1.00,20.0,-,-,-
395,T Stubbs,2023-2023,1,1,0,6,6,6.00,60.0,-,-,-
396,JTS Sumerauer,2023-2023,5,4,0,97,35,24.25,110.22,-,-,-
397,Suraj Kumar,2023-2023,2,2,2,63,53*,-,78.75,-,1,-
398,Khaled Ahmed,2023-2023,2,2,1,1,1,1.00,25.0,-,-,-
399,Taijul Islam,2023-2023,6,5,0,36,14,7.20,45.56,-,-,-
400,Tamim Iqbal,2023-2023,12,11,1,283,69,28.30,75.06,-,1,-
401,Tanzid Hasan,2023-2023,14,13,0,179,51,13.76,97.81,-,1,2
402,Tanzim Hasan Sakib,2023-2023,3,2,2,19,14*,-,135.71,-,-,-
403,Taskin Ahmed,2023-2023,18,13,2,104,21,9.45,63.03,-,-,2
404,SR Taylor,2023-2023,8,8,0,219,81,27.37,68.43,-,2,1
405,HT Tector,2023-2023,17,14,2,657,140,54.75,96.19,2,4,1
406,H Thaker,2023-2023,5,5,0,86,43,17.20,50.58,-,-,-
407,SN Thakur,2023-2023,16,6,0,59,25,9.83,95.16,-,-,-
408,M Theekshana,2023-2023,23,13,3,189,38*,18.90,57.97,-,-,3
409,BM Tickner,2023-2023,7,5,3,15,6*,7.50,60.0,-,-,-
410,NT Tilak Varma,2023-2023,1,1,0,5,5,5.00,55.55,-,-,-
411,G Toka,2023-2023,6,6,0,84,28,14.00,50.29,-,-,1
412,RJW Topley,2023-2023,9,4,4,17,15*,-,170.0,-,-,-
413,Towhid Hridoy,2023-2023,24,21,2,682,92,35.89,84.19,-,6,1
414,AM Tribe,2023-2023,5,5,1,237,115*,59.25,73.83,1,1,-
415,R Trumpelmann,2023-2023,11,9,1,133,30,16.62,125.47,-,-,1
416,LJ Tucker,2023-2023,17,14,3,236,50,21.45,96.72,-,1,1
417,Umran Malik,2023-2023,5,2,1,2,2*,2.00,28.57,-,-,1
418,JD Unadkat,2023-2023,1,-,0,-,-,-,0.0,-,-,-
419,TP Ura,2023-2023,10,10,1,314,56,34.88,89.97,-,3,-
420,Usama Mir,2023-2023,12,6,0,40,20,6.66,117.64,-,-,2
421,Usman Rafiq,2023-2023,2,2,1,28,28*,28.00,70.0,-,-,1
422,A Vala,2023-2023,13,13,0,401,75,30.84,69.13,-,3,2
423,AC Valthapa,2023-2023,3,1,0,14,14,14.00,63.63,-,-,-
424,LV van Beek,2023-2023,16,15,7,215,59,26.87,84.31,-,1,2
425,HE van der Dussen,2023-2023,21,21,1,797,133,39.85,84.69,3,3,-
426,RE van der Merwe,2023-2023,8,8,0,68,29,8.50,80.0,-,-,2
427,JDF Vandersay,2023-2023,1,-,0,-,-,-,0.0,-,-,-
428,M van Lingen,2023-2023,10,10,2,395,133,49.37,91.01,2,1,1
429,PA van Meekeren,2023-2023,14,13,4,59,21*,6.55,71.08,-,-,4
430,N Vanua,2023-2023,11,11,1,192,60,19.20,99.48,-,1,4
431,TF van Woerkom,2023-2023,1,-,0,-,-,-,0.0,-,-,-
432,HGV Vare,2023-2023,6,5,1,20,7,5.00,71.42,-,-,-
433,Vikramjit Singh,2023-2023,19,19,0,539,110,28.36,78.45,1,2,1
434,JM Vince,2023-2023,3,3,0,49,38,16.33,71.01,-,-,-
435,B Ward,2023-2023,5,5,1,75,46,18.75,61.98,-,-,-
436,DA Warner,2023-2023,20,20,0,925,163,46.25,112.66,3,6,1
437,Washington Sundar,2023-2023,6,3,0,39,18,13.00,67.24,-,-,-
438,MRJ Watt,2023-2023,11,9,2,189,47,27.00,101.06,-,-,1
439,DN Wellalage,2023-2023,12,11,2,133,42*,14.77,75.56,-,-,3
440,B White,2023-2023,2,-,0,-,-,-,0.0,-,-,-
441,SA Wijeyeratne,2023-2023,5,5,0,96,63,19.20,69.56,-,1,1
442,DJ Willey,2023-2023,10,10,4,133,21*,22.16,133.0,-,-,-
443,LB Williams,2023-2023,1,-,0,-,-,-,0.0,-,-,-
444,SC Williams,2023-2023,9,9,1,720,174,90.00,129.26,3,3,-
445,KS Williamson,2023-2023,7,7,1,420,95,70.00,87.31,-,5,-
446,CR Woakes,2023-2023,14,14,3,202,51,18.36,81.45,-,1,1
447,L Wood,2023-2023,1,-,0,-,-,-,0.0,-,-,-
448,MA Wood,2023-2023,9,7,4,85,43*,28.33,130.76,-,-,1
449,SA Yadav,2023-2023,21,20,2,389,72*,21.61,109.88,-,2,3
450,HN Ya France,2023-2023,11,9,2,143,49,20.42,86.14,-,-,1
451,Yasir Ali,2023-2023,2,2,0,24,17,12.00,141.17,-,-,-
452,CA Young,2023-2023,5,2,2,43,40*,-,91.48,-,-,-
453,WA Young,2023-2023,20,20,1,784,87,41.26,83.94,-,7,2
454,Zahoor Khan,2023-2023,22,14,6,59,23,7.37,59.0,-,-,3
455,Zakir Hasan,2023-2023,1,1,0,1,1,1.00,20.0,-,-,-
456,Zaman Khan,2023-2023,1,-,0,-,-,-,0.0,-,-,-
457,A Zampa,2023-2023,20,12,4,79,29,9.87,77.45,-,-,2
458,Zawar Farid,2023-2023,3,2,0,21,19,10.50,72.41,-,-,-
459,Zeeshan Maqsood,2023-2023,7,7,0,146,59,20.85,68.22,-,1,1
460,Zia-ur-Rehman,2023-2023,1,1,0,5,5,5.00,16.66,-,-,-
