,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,Type,Name,Age,Batting style,Bowling style,Role,Arm,Consolidated_Bowling_Style,BF,HS,Team 1,Team 2,Winner,Margin,Wins,Country
0,TH David,4.0,1.0,2.0,0.0,20.0,1.0,1/20,20.0,10.0,12.0,0.0,0.0,0.0,0.0,bowling,David Warner,37,Left-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,14,Australia
1,A Zampa,20.0,20.0,173.0,4.0,1000.0,38.0,4/8,26.31,5.78,27.3,0.0,0.0,2.0,0.0,bowling,Adam Zampa,31,Right-handed,Right arm leg break,Spin Bowler,Right,Leg break,,,,,,,14,Australia
2,AC Agar,2.0,2.0,19.0,0.0,81.0,3.0,2/41,27.0,4.26,38.0,0.0,0.0,0.0,0.0,bowling,Ashton Agar,30,Left-handed,Slow left arm orthodox,Pace Bowler,Left,Slow left arm,,,,,,,14,Australia
3,MA Starc,14.0,14.0,121.5,3.0,750.0,25.0,5/53,30.0,6.15,29.2,1.0,0.0,7.0,0.0,bowling,Mitchell Starc,33,Left-handed,Left arm fast,Pace Bowler,Left,Fast,,,,,,,14,Australia
4,AM Hardie,1.0,1.0,10.0,0.0,62.0,2.0,2/62,31.0,6.2,30.0,0.0,0.0,0.0,0.0,bowling,,24,,,,,,,,,,,,14,Australia
91,JR Hazlewood,16.0,16.0,140.1,10.0,747.0,24.0,3/38,31.12,5.32,35.0,0.0,0.0,5.0,0.0,bowling,Josh Hazlewood,32,Left-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,14,Australia
92,NT Ellis,5.0,5.0,41.0,1.0,242.0,7.0,2/13,34.57,5.9,35.1,0.0,0.0,2.0,0.0,bowling,Nathan Ellis,29,Right-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,14,Australia
93,PJ Cummins,13.0,13.0,107.3,1.0,618.0,17.0,3/51,36.35,5.74,37.9,0.0,0.0,5.0,0.0,bowling,Pat Cummins,30,Right-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,14,Australia
94,MP Stoinis,13.0,12.0,66.1,2.0,412.0,11.0,2/20,37.45,6.22,36.0,0.0,0.0,4.0,0.0,bowling,,34,,,,,,,,,,,,14,Australia
181,SA Abbott,10.0,10.0,84.3,2.0,487.0,13.0,3/23,37.46,5.76,39.0,0.0,0.0,5.0,0.0,bowling,Sean Abbott,31,Right-handed,Right arm fast medium,All-Rounders,Right,Fast medium,,,,,,,14,Australia
182,GJ Maxwell,11.0,10.0,80.3,1.0,377.0,10.0,4/40,37.7,4.68,48.3,0.0,0.0,6.0,0.0,bowling,,35,,,,,,,,,,,,14,Australia
269,TM Head,13.0,7.0,35.0,0.0,181.0,4.0,2/21,45.25,5.17,52.5,0.0,0.0,4.0,0.0,bowling,Travis Head,29,Left-handed,Right arm off break,Batters,Right,Off break,,,,,,,14,Australia
270,MR Marsh,20.0,5.0,13.0,0.0,96.0,2.0,2/19,48.0,7.38,39.0,0.0,0.0,4.0,0.0,bowling,,32,,,,,,,,,,,,14,Australia
357,T Sangha,2.0,2.0,18.0,0.0,125.0,2.0,1/61,62.5,6.94,54.0,0.0,0.0,0.0,0.0,bowling,Tanveer Sangha,21,Right-handed,Right arm leg break,Spin Bowler,Right,Leg break,,,,,,,14,Australia
358,C Green,10.0,8.0,50.4,0.0,334.0,5.0,2/103,66.8,6.59,60.8,0.0,0.0,5.0,0.0,bowling,Cameron Green,24,Right-handed,Right arm fast medium,All-Rounders,Right,Fast medium,,,,,,,14,Australia
359,MG Neser,2.0,2.0,20.0,1.0,119.0,1.0,1/59,119.0,5.95,120.0,0.0,0.0,1.0,0.0,bowling,Michael Neser,33,Right-handed,Right arm medium fast,Wicket Keeper,Right,Fast medium,,,,,,,14,Australia
360,MW Short,2.0,2.0,10.0,0.0,54.0,0.0,0,0.0,5.4,0.0,0.0,0.0,1.0,0.0,bowling,,28,,,,,,,,,,,,14,Australia
447,SH Johnson,1.0,1.0,8.0,0.0,61.0,0.0,0,0.0,7.62,0.0,0.0,0.0,0.0,0.0,bowling,Spencer Johnson,27,Left-handed,Left arm fast mediun,Pace Bowler,Left,Fast medium,,,,,,,14,Australia
448,M Labuschagne,22.0,1.0,3.0,0.0,33.0,0.0,0,0.0,11.0,0.0,0.0,0.0,14.0,0.0,bowling,Marnus Labuschagne,29,Right-handed,Right arm leg break,Batters,Right,Leg break,,,,,,,14,Australia
449,AT Carey,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,bowling,,,,,,,,,,,,,,14,Australia
536,JP Inglis,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,bowling,Josh Inglis,28,Right-handed,Other,Wicket Keeper,Other,Other,,,,,,,14,Australia
537,SPD Smith,16.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,bowling,,,,,,,,,,,,,,14,Australia
624,DA Warner,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,bowling,David Warner,37,Left-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,14,Australia
625,Rahmat Shah,18.0,2.0,2.1,0.0,18.0,1.0,1/6,18.0,8.3,13.0,0.0,0.0,6.0,0.0,bowling,Rahmat Shah,30,Right-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,7,Afghanistan
626,Gulbadin Naib,4.0,4.0,29.0,1.0,173.0,8.0,4/60,21.62,5.96,21.7,0.0,0.0,0.0,0.0,bowling,Gulbadin Naib,32,Right-handed,Right arm medium fast,All-Rounders,Right,Fast medium,,,,,,,7,Afghanistan
627,Fareed Ahmad,4.0,4.0,28.0,0.0,182.0,6.0,2/43,30.33,6.5,28.0,0.0,0.0,0.0,0.0,bowling,Fareed Ahmad,29,Left-handed,Left arm fast medium,Spin Bowler,Left,Fast medium,,,,,,,7,Afghanistan
628,Mohammad Nabi,20.0,20.0,139.3,4.0,601.0,18.0,3/28,33.38,4.3,46.5,0.0,0.0,11.0,0.0,bowling,Mohammad Nabi,38,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,7,Afghanistan
629,Fazalhaq Farooqi,17.0,17.0,118.5,7.0,705.0,21.0,4/34,33.57,5.93,33.9,0.0,0.0,1.0,0.0,bowling,Fazalhaq Farooqi,23,Right-handed,Left arm fast medium,Spin Bowler,Left,Fast medium,,,,,,,7,Afghanistan
630,Rashid Khan,17.0,17.0,158.3,4.0,724.0,20.0,3/37,36.2,4.56,47.5,0.0,0.0,6.0,0.0,bowling,Rashid Khan,25,Right-handed,Right arm leg break,All-Rounders,Right,Leg break,,,,,,,7,Afghanistan
631,Mujeeb Ur Rahman,20.0,20.0,179.5,8.0,907.0,22.0,3/33,41.22,5.04,49.0,0.0,0.0,2.0,0.0,bowling,Mujeeb Ur Rahman,22,Right-handed,Right arm off break,Spin Bowler,Right,Off break,,,,,,,7,Afghanistan
632,Noor Ahmad,6.0,6.0,55.0,1.0,306.0,7.0,3/49,43.71,5.56,47.1,0.0,0.0,1.0,0.0,bowling,Noor Ahmad,18,Right-handed,Slow left arm unorthodox,Wicket Keeper,Left,Slow left arm,,,,,,,7,Afghanistan
633,Naveen-ul-Haq,8.0,8.0,53.4,1.0,352.0,8.0,2/47,44.0,6.55,40.2,0.0,0.0,2.0,0.0,bowling,Naveen-ul-Haq,24,Right-handed,Right arm medium fast,Pace Bowler,Right,Fast medium,,,,,,,7,Afghanistan
634,Azmatullah Omarzai,15.0,15.0,68.4,2.0,445.0,9.0,2/52,49.44,6.48,45.7,0.0,0.0,1.0,0.0,bowling,Azmatullah Omarzai,23,Right-handed,Right arm medium fast,All-Rounders,Right,Fast medium,,,,,,,7,Afghanistan
635,Abdul Rahman,3.0,3.0,17.2,0.0,133.0,1.0,1/83,133.0,7.67,104.0,0.0,0.0,0.0,0.0,bowling,Abdul Rahman,22,Right-handed,Right arm medium fast,Spin Bowler,Right,Fast medium,,,,,,,7,Afghanistan
636,Zia-ur-Rehman,1.0,1.0,3.3,0.0,22.0,0.0,0,0.0,6.28,0.0,0.0,0.0,0.0,0.0,bowling,Zia-ur-Rehman,25,Right-handed,Slow left arm orthodox,All-Rounders,Left,Slow left arm,,,,,,,7,Afghanistan
637,Karim Janat,2.0,2.0,9.0,0.0,59.0,0.0,0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,bowling,Karim Janat,25,Right-handed,Right arm medium,All-Rounders,Right,Medium,,,,,,,7,Afghanistan
638,Mohammad Saleem,2.0,2.0,10.2,0.0,70.0,0.0,0,0.0,6.77,0.0,0.0,0.0,1.0,0.0,bowling,Mohammad Saleem,21,Right-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,7,Afghanistan
639,Hashmatullah Shahidi,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,bowling,Hashmatullah Shahidi,29,Left-handed,Right arm off break,Batters,Right,Off break,,,,,,,7,Afghanistan
640,Ibrahim Zadran,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,bowling,Ibrahim Zadran,21,Right-handed,Right arm medium fast,Batters,Right,Fast medium,,,,,,,7,Afghanistan
641,Ikram Alikhil,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,bowling,Ikram Alikhil,23,Left-handed,Other,Wicket Keeper,Other,Other,,,,,,,7,Afghanistan
642,Najibullah Zadran,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Najibullah Zadran,30,Left-handed,Right arm off break,Batters,Right,Off break,,,,,,,7,Afghanistan
643,Rahmanullah Gurbaz,20.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,bowling,Rahmanullah Gurbaz,21,Right-handed,Other,Wicket Keeper,Other,Other,,,,,,,7,Afghanistan
644,Riaz Hassan,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,bowling,Riaz Hassan,21,Right-handed,Other,Batters,Other,Other,,,,,,,7,Afghanistan
645,Shahidullah,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Shahidullah Kamal,24,Left-handed,Slow left arm orthodox,All-Rounders,Left,Slow left arm,,,,,,,7,Afghanistan
646,Khaled Ahmed,2.0,2.0,13.2,1.0,72.0,3.0,3/60,24.0,5.4,26.6,0.0,0.0,0.0,0.0,bowling,Khaled Ahmed,31,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,10,Bangladesh
647,Taskin Ahmed,18.0,17.0,137.3,10.0,659.0,26.0,4/44,25.34,4.79,31.7,0.0,0.0,2.0,0.0,bowling,Taskin Ahmed,28,Left-handed,Right arm fast,Pace Bowler,Right,Fast,,,,,,,10,Bangladesh
648,Taijul Islam,6.0,6.0,48.0,0.0,261.0,10.0,3/54,26.1,5.43,28.8,0.0,0.0,2.0,0.0,bowling,,31,,,,,,,,,,,,10,Bangladesh
735,Ebadot Hossain,8.0,7.0,54.4,3.0,294.0,11.0,4/42,26.72,5.37,29.8,0.0,0.0,0.0,0.0,bowling,Najmul Hossain Shanto,25,Left-handed,Right arm off break,Batters,Right,Off break,,,,,,,10,Bangladesh
736,Shoriful Islam,16.0,16.0,122.4,7.0,697.0,26.0,4/21,26.8,5.68,28.3,0.0,0.0,1.0,0.0,bowling,Shoriful Islam,22,Left-handed,Left arm medium fast,Pace Bowler,Left,Fast medium,,,,,,,10,Bangladesh
737,Tanzim Hasan Sakib,3.0,3.0,23.3,1.0,137.0,5.0,3/80,27.4,5.82,28.2,0.0,0.0,0.0,0.0,bowling,Tanzim Hasan,21,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,10,Bangladesh
738,Mahedi Hasan,8.0,8.0,65.0,1.0,331.0,12.0,4/71,27.58,5.09,32.5,0.0,0.0,2.0,0.0,bowling,Mahedi Hasan,28,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,10,Bangladesh
739,Hasan Mahmud,14.0,13.0,103.1,4.0,622.0,20.0,5/32,31.1,6.02,30.9,1.0,0.0,1.0,0.0,bowling,Hasan Mahmud,24,Right-handed,Right arm fast medium,Pace Bowler,Right,Fast medium,,,,,,,10,Bangladesh
740,Shakib Al Hasan,23.0,20.0,174.0,7.0,816.0,23.0,4/35,35.47,4.68,45.3,0.0,0.0,6.0,0.0,bowling,Hasan Ali,29,Right-handed,Right arm medium fast,Pace Bowler,Right,Fast medium,,,,,,,10,Bangladesh
741,Mehidy Hasan Miraz,24.0,22.0,162.0,7.0,866.0,22.0,3/25,39.36,5.34,44.1,0.0,0.0,8.0,0.0,bowling,Mehidy Hasan Miraz,26,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,10,Bangladesh
742,Mustafizur Rahman,19.0,19.0,147.5,6.0,815.0,20.0,4/44,40.75,5.51,44.3,0.0,0.0,3.0,0.0,bowling,Mustafizur Rahman,28,Left-handed,Left arm fast medium,Pace Bowler,Left,Fast medium,,,,,,,10,Bangladesh
743,Najmul Hossain Shanto,24.0,4.0,7.2,0.0,41.0,1.0,1/10,41.0,5.59,44.0,0.0,0.0,8.0,0.0,bowling,Najmul Hossain Shanto,25,Left-handed,Right arm off break,Batters,Right,Off break,,,,,,,10,Bangladesh
744,Nasum Ahmed,11.0,10.0,83.3,4.0,422.0,7.0,3/43,60.28,5.05,71.5,0.0,0.0,3.0,0.0,bowling,Nasum Ahmed,28,Left-handed,Slow left arm orthodox,Spin Bowler,Left,Slow left arm,,,,,,,10,Bangladesh
745,Afif Hossain,8.0,1.0,1.0,0.0,6.0,0.0,0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,bowling,Afif Hossain,24,Left-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,10,Bangladesh
746,Mahmudullah,14.0,5.0,12.5,0.0,79.0,0.0,0,0.0,6.15,0.0,0.0,0.0,7.0,0.0,bowling,Mahmudullah,37,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,10,Bangladesh
747,Soumya Sarkar,2.0,1.0,2.0,0.0,13.0,0.0,0,0.0,6.5,0.0,0.0,0.0,1.0,0.0,bowling,Soumya Sarkar,30,Left-handed,Right arm medium fast,Batters,Right,Fast medium,,,,,,,10,Bangladesh
748,Mrittunjoy Chowdhury,1.0,1.0,8.0,0.0,64.0,0.0,0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,bowling,,23,,,,,,,,,,,,10,Bangladesh
835,Shamim Hossain,4.0,2.0,2.0,0.0,18.0,0.0,0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,bowling,Shamim Hossain,23,Left-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,10,Bangladesh
836,Anamul Haque,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Anamul Haque,30,Right-handed,Right arm medium fast,Batters,Right,Fast medium,,,,,,,10,Bangladesh
837,Litton Das,26.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,bowling,Liton Das,29,Right-handed,Right arm off break,Wicket Keeper,Right,Off break,,,,,,,10,Bangladesh
838,Mohammad Naim,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,bowling,Mohammad Nabi,38,Right-handed,Right arm off break,All-Rounders,Right,Off break,,,,,,,10,Bangladesh
839,Mushfiqur Rahim,26.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,bowling,Mushfiqur Rahim,36,Right-handed,Right arm off break,Wicket Keeper,Right,Off break,,,,,,,10,Bangladesh
840,Nurul Hasan,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,bowling,Mahmudul Hasan Joy,23,Right-handed,Other,Batters,Other,Other,,,,,,,10,Bangladesh
841,Rony Talukdar,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Rony Talukdar,33,Right-handed,Other,Batters,Other,Other,,,,,,,10,Bangladesh
842,Tamim Iqbal,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,bowling,Tamim Iqbal,34,Left-handed,Left arm off break,Batters,Left,Off break,,,,,,,10,Bangladesh
843,Tanzid Hasan,14.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,bowling,Tanzid Hasan,22,Left-handed,Other,Batters,Other,Other,,,,,,,10,Bangladesh
844,Towhid Hridoy,24.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,bowling,Towhid Hridoy,22,Right-handed,Other,Batters,Other,Other,,,,,,,10,Bangladesh
845,Yasir Ali,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Yasir Ali,27,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,10,Bangladesh
846,Zakir Hasan,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowling,Zakir Hasan,25,Right-handed,Other,Batters,Other,Other,,,,,,,10,Bangladesh
847,JOA Gordon,5.0,5.0,41.2,1.0,202.0,12.0,6/43,16.83,4.88,20.6,1.0,0.0,1.0,0.0,bowling,,36,,,,,,,,,,,,3,Canada
934,H Thaker,5.0,5.0,43.0,3.0,144.0,6.0,2/27,24.0,3.34,43.0,0.0,0.0,2.0,0.0,bowling,,26,,,,,,,,,,,,3,Canada
1021,Saad Bin Zafar,5.0,5.0,45.0,0.0,215.0,8.0,3/43,26.87,4.77,33.7,0.0,0.0,1.0,0.0,bowling,Saad Bin Zafar,37,Left-handed,Slow left arm orthodox,All-Rounders,Left,Slow left arm,,,,,,,3,Canada
1022,Kaleem Sana,5.0,5.0,42.0,5.0,207.0,7.0,3/14,29.57,4.92,36.0,0.0,0.0,1.0,0.0,bowling,Kaleem Sana,29,Right-handed,Left arm medium,Pace Bowler,Left,Medium,,,,,,,3,Canada
1023,Pargat Singh,5.0,3.0,14.0,0.0,61.0,2.0,1/20,30.5,4.35,42.0,0.0,0.0,1.0,0.0,bowling,Pargat Singh,31,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,3,Canada
1024,N Dutta,5.0,4.0,33.0,1.0,135.0,4.0,2/30,33.75,4.09,49.5,0.0,0.0,1.0,0.0,bowling,Nikhil Dutta,29,Right-handed,Right arm off break,Spin Bowler,Right,Off break,,,,,,,3,Canada
1025,D Heyliger,2.0,2.0,13.0,0.0,45.0,1.0,1/34,45.0,3.46,78.0,0.0,0.0,0.0,0.0,bowling,Dillon Heyliger,34,Right-handed,Right arm medium,Pace Bowler,Right,Medium,,,,,,,3,Canada
1026,A Johnson,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,bowling,Spencer Johnson,27,Left-handed,Left arm fast mediun,Pace Bowler,Left,Fast medium,,,,,,,14,Australia
1027,NR Kirton,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Nicholas Kirton,25,Left-handed,Right arm off break,Batters,Right,Off break,,,,,,,3,Canada
1028,Ravinderpal Singh,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,bowling,Ravinderpal Singh,35,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,3,Canada
1029,M Spoors,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,Matthew Spoors,24,Right-handed,Right arm leg break,Batters,Right,Leg break,,,,,,,3,Canada
1030,SA Wijeyeratne,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,bowling,Srimantha Wijeyeratne,34,Right-handed,Slow left arm orthodox,Wicket Keeper,Left,Slow left arm,,,,,,,3,Canada
1031,JC Archer,4.0,4.0,38.0,2.0,193.0,12.0,6/40,16.08,5.07,19.0,1.0,0.0,1.0,0.0,bowling,,28,,,,,,,,,,,,10,England
1118,GLS Scrimshaw,1.0,1.0,8.4,0.0,66.0,3.0,3/66,22.0,7.61,17.3,0.0,0.0,0.0,0.0,bowling,,25,,,,,,,,,,,,10,England
1205,Rehan Ahmed,3.0,2.0,20.0,0.0,116.0,5.0,4/54,23.2,5.8,24.0,0.0,0.0,1.0,0.0,bowling,,19,,,,,,,,,,,,10,England
1292,MJ Potts,2.0,1.0,7.0,0.0,47.0,2.0,2/47,23.5,6.71,21.0,0.0,0.0,0.0,0.0,bowling,,25,,,,,,,,,,,,10,England
1379,DJ Willey,10.0,10.0,74.5,7.0,391.0,16.0,3/34,24.43,5.22,28.0,0.0,0.0,2.0,0.0,bowling,,33,,,,,,,,,,,,10,England
1466,AU Rashid,16.0,16.0,141.4,1.0,791.0,30.0,4/45,26.36,5.58,28.3,0.0,0.0,4.0,0.0,bowling,,35,,,,,,,,,,,,10,England
1553,OP Stone,2.0,2.0,17.0,1.0,85.0,3.0,2/48,28.33,5.0,34.0,0.0,0.0,0.0,0.0,bowling,,30,,,,,,,,,,,,10,England
1640,SM Curran,11.0,11.0,71.2,5.0,449.0,14.0,4/29,32.07,6.29,30.5,0.0,0.0,5.0,0.0,bowling,,25,,,,,,,,,,,,10,England
1727,CR Woakes,14.0,14.0,100.1,3.0,522.0,16.0,4/54,32.62,5.21,37.5,0.0,0.0,3.0,0.0,bowling,,34,,,,,,,,,,,,10,England
1814,RJW Topley,9.0,9.0,70.4,3.0,432.0,13.0,4/43,33.23,6.11,32.6,0.0,0.0,3.0,0.0,bowling,,29,,,,,,,,,,,,10,England
1901,LS Livingstone,10.0,9.0,48.4,1.0,255.0,7.0,3/16,36.42,5.23,41.7,0.0,0.0,2.0,0.0,bowling,,30,,,,,,,,,,,,10,England
1988,MM Ali,15.0,15.0,103.0,2.0,593.0,16.0,4/50,37.06,5.75,38.6,0.0,0.0,11.0,0.0,bowling,Yasir Ali,27,Right-handed,Right arm off break,Batters,Right,Off break,,,,,,,10,England
1989,BA Carse,3.0,2.0,15.0,0.0,93.0,2.0,1/40,46.5,6.2,45.0,0.0,0.0,1.0,0.0,bowling,,28,,,,,,,,,,,,10,England
2076,AAP Atkinson,6.0,6.0,41.0,0.0,240.0,5.0,2/45,48.0,5.85,49.2,0.0,0.0,0.0,0.0,bowling,,25,,,,,,,,,,,,10,England
2163,MA Wood,9.0,9.0,66.0,1.0,397.0,8.0,2/34,49.62,6.01,49.5,0.0,0.0,2.0,0.0,bowling,,33,,,,,,,,,,,,10,England
2250,WG Jacks,4.0,3.0,14.0,0.0,72.0,1.0,1/18,72.0,5.14,84.0,0.0,0.0,1.0,0.0,bowling,,25,,,,,,,,,,,,10,England
2337,JE Root,13.0,3.0,14.1,0.0,92.0,1.0,1/19,92.0,6.49,85.0,0.0,0.0,7.0,0.0,bowling,,,,,,,,,,,,,,10,England
2424,S Mahmood,1.0,1.0,9.0,0.0,41.0,0.0,0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,10,England
2511,TW Hartley,2.0,1.0,10.0,0.0,48.0,0.0,0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,10,England
2598,JM Bairstow,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,bowling,,,,,,,,,,,,,,10,England
2685,HC Brook,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bowling,,,,,,,,,,,,,,10,England
2772,JC Buttler,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,bowling,,,,,,,,,,,,,,10,England
2859,Z Crawley,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,10,England
2946,BM Duckett,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,bowling,,,,,,,,,,,,,,10,England
3033,SR Hain,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bowling,,,,,,,,,,,,,,10,England
